complex_name,uniprot_1,uniprot_2,uniprot_3,uniprot_4,uniprot_5,complex_key,symbol_1,symbol_2,symbol_3,symbol_4,symbol_5
integrin_aLb2_complex,P05107,P20701,,,,P05107_P20701,ITB2,ITAL,,,
integrin_aMb2_complex,P05107,P11215,,,,P05107_P11215,ITB2,ITAM,,,
integrin_aVb1_complex,P05556,P06756,,,,P05556_P06756,ITB1,ITAV,,,
integrin_aVb3_complex,P06756,P05106,,,,P05106_P06756,ITAV,ITB3,,,
integrin_aVb5_complex,P18084,P06756,,,,P06756_P18084,ITB5,ITAV,,,
integrin_aVb6_complex,P06756,P18564,,,,P06756_P18564,ITAV,ITB6,,,
integrin_aVb8_complex,P26012,P06756,,,,P06756_P26012,ITB8,ITAV,,,
integrin_aXb2_complex,P20702,P05107,,,,P05107_P20702,ITAX,ITB2,,,
Klotho_FGFR1,P11362,Q9UEF7,,,,P11362_Q9UEF7,FGFR1,KLOT,,,
Kremen1_LRP6,Q96MU8,O75581,,,,O75581_Q96MU8,KREM1,LRP6,,,
Kremen2_LRP6,Q8NCW0,O75581,,,,O75581_Q8NCW0,KREM2,LRP6,,,
Ldopa_byTYR,P14679,,,,,P14679,TYRO,,,,
LeukotrieneB4_byLTA4H,P09960,,,,,P09960,LKHA4,,,,
LeukotrieneC4_byLTC4S,P20292,P09917,Q16873,,,P09917_P20292_Q16873,AL5AP,LOX5,LTC4S,,
LeukotrieneD4_byGGT1,P19440,P36269,,,,P19440_P36269,GGT1,GGT5,,,
LeukotrieneE4_byDPEP1,P16444,,,,,P16444,DPEP1,,,,
LeukotrieneE4_byDPEP2,Q9H4A9,,,,,Q9H4A9,DPEP2,,,,
LeukotrieneE4_byDPEP3,Q9H4B8,,,,,Q9H4B8,DPEP3,,,,
LIFR,P42702,P40189,,,,P40189_P42702,LIFR,IL6RB,,,
LipoxinA4_byALOX12,P18054,,,,,P18054,LOX12,,,,
LipoxinA4_byALOX5,P09917,P20292,Q16873,,,P09917_P20292_Q16873,LOX5,AL5AP,LTC4S,,
LRP4_MUSK_complex,O15146,O75096,,,,O15146_O75096,MUSK,LRP4,,,
Lthyroxine_byTPO,P07202,,,,,P07202,PERT,,,,
Melatonin_byASMT,P46597,,,,,P46597,ASMT,,,,
MIS_receptor_1,Q16671,P36894,,,,P36894_Q16671,AMHR2,BMR1A,,,
MIS_receptor_2,Q16671,O00238,,,,O00238_Q16671,AMHR2,BMR1B,,,
